model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
KIT-hhh4,2024-12-12,sari,2024-12-12-icosari-sari-KIT-hhh4.csv,2024-12-13,2024-12-13,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2024-12-12,sari,2024-12-12-icosari-sari-KIT-simple_nowcast.csv,2024-12-13,2024-12-13,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2024-12-12,sari,2024-12-12-icosari-sari-MPIDS-PS_embedding.csv,2024-12-12,2024-12-12,icosari,0,FALSE,Prospective
KIT-epinowcast,2024-12-12,sari,2024-12-12-icosari-sari-KIT-epinowcast.csv,2024-12-13,2024-12-13,icosari,1,FALSE,Prospective
RIVM-GAM,2024-12-12,sari,2024-12-12-icosari-sari-RIVM-GAM.csv,2024-12-13,2024-12-13,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-12-12,sari,2024-12-12-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,174,TRUE,Retrospective
KIT-LightGBM,2024-12-19,sari,2024-12-19-icosari-sari-KIT-LightGBM.csv,2025-01-13,2025-01-13,icosari,25,TRUE,Retrospective
KIT-TSMixer,2024-12-19,sari,2024-12-19-icosari-sari-KIT-TSMixer.csv,2025-01-13,2025-01-13,icosari,25,TRUE,Retrospective
KIT-hhh4,2024-12-19,sari,2024-12-19-icosari-sari-KIT-hhh4.csv,2024-12-20,2024-12-20,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2024-12-19,sari,2024-12-19-icosari-sari-KIT-simple_nowcast.csv,2024-12-20,2024-12-20,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2024-12-19,sari,2024-12-19-icosari-sari-MPIDS-PS_embedding.csv,2024-12-20,2024-12-20,icosari,1,FALSE,Prospective
KIT-epinowcast,2024-12-19,sari,2024-12-19-icosari-sari-KIT-epinowcast.csv,2024-12-20,2024-12-20,icosari,1,FALSE,Prospective
RIVM-GAM,2024-12-19,sari,2024-12-19-icosari-sari-RIVM-GAM.csv,2024-12-20,2024-12-20,icosari,1,FALSE,Prospective
RKI-Pilot_01,2024-12-19,sari,2024-12-19-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,167,TRUE,Retrospective
KIT-LightGBM,2025-01-09,sari,2025-01-09-icosari-sari-KIT-LightGBM.csv,2025-01-13,2025-01-13,icosari,4,FALSE,Prospective
KIT-TSMixer,2025-01-09,sari,2025-01-09-icosari-sari-KIT-TSMixer.csv,2025-01-13,2025-01-13,icosari,4,FALSE,Prospective
KIT-hhh4,2025-01-09,sari,2025-01-09-icosari-sari-KIT-hhh4.csv,2025-01-10,2025-01-10,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-09,sari,2025-01-09-icosari-sari-KIT-simple_nowcast.csv,2025-01-10,2025-01-10,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-09,sari,2025-01-09-icosari-sari-MPIDS-PS_embedding.csv,2025-03-27,2025-03-27,icosari,77,TRUE,Retrospective
KIT-epinowcast,2025-01-09,sari,2025-01-09-icosari-sari-KIT-epinowcast.csv,2025-01-10,2025-01-10,icosari,1,FALSE,Prospective
RIVM-GAM,2025-01-09,sari,2025-01-09-icosari-sari-RIVM-GAM.csv,2025-01-10,2025-01-10,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-01-09,sari,2025-01-09-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,146,TRUE,Retrospective
KIT-LightGBM,2025-01-16,sari,2025-01-16-icosari-sari-KIT-LightGBM.csv,2025-01-21,2025-01-21,icosari,5,FALSE,Prospective
KIT-TSMixer,2025-01-16,sari,2025-01-16-icosari-sari-KIT-TSMixer.csv,2025-01-21,2025-01-21,icosari,5,FALSE,Prospective
KIT-hhh4,2025-01-16,sari,2025-01-16-icosari-sari-KIT-hhh4.csv,2025-01-17,2025-01-17,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-16,sari,2025-01-16-icosari-sari-KIT-simple_nowcast.csv,2025-01-17,2025-01-17,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-16,sari,2025-01-16-icosari-sari-MPIDS-PS_embedding.csv,2025-01-19,2025-01-19,icosari,3,FALSE,Prospective
KIT-epinowcast,2025-01-16,sari,2025-01-16-icosari-sari-KIT-epinowcast.csv,2025-01-17,2025-01-17,icosari,1,FALSE,Prospective
RIVM-GAM,2025-01-16,sari,2025-01-16-icosari-sari-RIVM-GAM.csv,2025-01-17,2025-01-17,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-01-16,sari,2025-01-16-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,139,TRUE,Retrospective
KIT-LightGBM,2025-01-23,sari,2025-01-23-icosari-sari-KIT-LightGBM.csv,2025-01-30,2025-01-30,icosari,7,FALSE,Prospective
KIT-TSMixer,2025-01-23,sari,2025-01-23-icosari-sari-KIT-TSMixer.csv,2025-01-30,2025-01-30,icosari,7,FALSE,Prospective
KIT-hhh4,2025-01-23,sari,2025-01-23-icosari-sari-KIT-hhh4.csv,2025-01-24,2025-01-24,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-23,sari,2025-01-23-icosari-sari-KIT-simple_nowcast.csv,2025-01-24,2025-01-24,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-23,sari,2025-01-23-icosari-sari-MPIDS-PS_embedding.csv,2025-01-23,2025-01-23,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-01-23,sari,2025-01-23-icosari-sari-KIT-epinowcast.csv,2025-01-24,2025-01-24,icosari,1,FALSE,Prospective
RIVM-GAM,2025-01-23,sari,2025-01-23-icosari-sari-RIVM-GAM.csv,2025-01-24,2025-01-24,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-01-23,sari,2025-01-23-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,132,TRUE,Retrospective
KIT-LightGBM,2025-01-30,sari,2025-01-30-icosari-sari-KIT-LightGBM.csv,2025-01-31,2025-01-31,icosari,1,FALSE,Prospective
KIT-TSMixer,2025-01-30,sari,2025-01-30-icosari-sari-KIT-TSMixer.csv,2025-01-31,2025-01-31,icosari,1,FALSE,Prospective
KIT-hhh4,2025-01-30,sari,2025-01-30-icosari-sari-KIT-hhh4.csv,2025-01-31,2025-01-31,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-30,sari,2025-01-30-icosari-sari-KIT-simple_nowcast.csv,2025-01-31,2025-01-31,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-30,sari,2025-01-30-icosari-sari-MPIDS-PS_embedding.csv,2025-01-30,2025-01-30,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-01-30,sari,2025-01-30-icosari-sari-KIT-epinowcast.csv,2025-01-31,2025-01-31,icosari,1,FALSE,Prospective
RIVM-GAM,2025-01-30,sari,2025-01-30-icosari-sari-RIVM-GAM.csv,2025-01-31,2025-01-31,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-01-30,sari,2025-01-30-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,125,TRUE,Retrospective
KIT-LightGBM,2025-02-06,sari,2025-02-06-icosari-sari-KIT-LightGBM.csv,2025-02-07,2025-02-07,icosari,1,FALSE,Prospective
KIT-TSMixer,2025-02-06,sari,2025-02-06-icosari-sari-KIT-TSMixer.csv,2025-02-07,2025-02-07,icosari,1,FALSE,Prospective
KIT-hhh4,2025-02-06,sari,2025-02-06-icosari-sari-KIT-hhh4.csv,2025-02-07,2025-02-07,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-02-06,sari,2025-02-06-icosari-sari-KIT-simple_nowcast.csv,2025-02-07,2025-02-07,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-06,sari,2025-02-06-icosari-sari-MPIDS-PS_embedding.csv,2025-02-06,2025-02-06,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-02-06,sari,2025-02-06-icosari-sari-KIT-epinowcast.csv,2025-02-07,2025-02-07,icosari,1,FALSE,Prospective
RIVM-GAM,2025-02-06,sari,2025-02-06-icosari-sari-RIVM-GAM.csv,2025-02-07,2025-02-07,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-02-06,sari,2025-02-06-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,118,TRUE,Retrospective
KIT-LightGBM,2025-02-13,sari,2025-02-13-icosari-sari-KIT-LightGBM.csv,2025-02-14,2025-02-14,icosari,1,FALSE,Prospective
KIT-TSMixer,2025-02-13,sari,2025-02-13-icosari-sari-KIT-TSMixer.csv,2025-02-14,2025-02-14,icosari,1,FALSE,Prospective
KIT-hhh4,2025-02-13,sari,2025-02-13-icosari-sari-KIT-hhh4.csv,2025-02-14,2025-02-14,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-02-13,sari,2025-02-13-icosari-sari-KIT-simple_nowcast.csv,2025-02-14,2025-02-14,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-13,sari,2025-02-13-icosari-sari-MPIDS-PS_embedding.csv,2025-02-18,2025-02-18,icosari,5,FALSE,Prospective
KIT-epinowcast,2025-02-13,sari,2025-02-13-icosari-sari-KIT-epinowcast.csv,2025-02-14,2025-02-14,icosari,1,FALSE,Prospective
RIVM-GAM,2025-02-13,sari,2025-02-13-icosari-sari-RIVM-GAM.csv,2025-02-14,2025-02-14,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-02-13,sari,2025-02-13-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,111,TRUE,Retrospective
KIT-LightGBM,2025-02-20,sari,2025-02-20-icosari-sari-KIT-LightGBM.csv,2025-02-25,2025-02-25,icosari,5,FALSE,Prospective
KIT-TSMixer,2025-02-20,sari,2025-02-20-icosari-sari-KIT-TSMixer.csv,2025-02-25,2025-02-25,icosari,5,FALSE,Prospective
KIT-hhh4,2025-02-20,sari,2025-02-20-icosari-sari-KIT-hhh4.csv,2025-02-21,2025-02-21,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-02-20,sari,2025-02-20-icosari-sari-KIT-simple_nowcast.csv,2025-02-21,2025-02-21,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-20,sari,2025-02-20-icosari-sari-MPIDS-PS_embedding.csv,2025-02-20,2025-02-20,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-02-20,sari,2025-02-20-icosari-sari-KIT-epinowcast.csv,2025-02-21,2025-02-21,icosari,1,FALSE,Prospective
RIVM-GAM,2025-02-20,sari,2025-02-20-icosari-sari-RIVM-GAM.csv,2025-02-21,2025-02-21,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-02-20,sari,2025-02-20-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,104,TRUE,Retrospective
KIT-LightGBM,2025-02-27,sari,2025-02-27-icosari-sari-KIT-LightGBM.csv,2025-03-04,2025-03-04,icosari,5,FALSE,Prospective
KIT-TSMixer,2025-02-27,sari,2025-02-27-icosari-sari-KIT-TSMixer.csv,2025-03-04,2025-03-04,icosari,5,FALSE,Prospective
KIT-hhh4,2025-02-27,sari,2025-02-27-icosari-sari-KIT-hhh4.csv,2025-02-28,2025-02-28,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-02-27,sari,2025-02-27-icosari-sari-KIT-simple_nowcast.csv,2025-02-28,2025-02-28,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-02-27,sari,2025-02-27-icosari-sari-MPIDS-PS_embedding.csv,2025-02-27,2025-02-27,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-02-27,sari,2025-02-27-icosari-sari-KIT-epinowcast.csv,2025-02-28,2025-02-28,icosari,1,FALSE,Prospective
RIVM-GAM,2025-02-27,sari,2025-02-27-icosari-sari-RIVM-GAM.csv,2025-02-28,2025-02-28,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-02-27,sari,2025-02-27-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,97,TRUE,Retrospective
KIT-LightGBM,2025-03-06,sari,2025-03-06-icosari-sari-KIT-LightGBM.csv,2025-03-07,2025-03-07,icosari,1,FALSE,Prospective
KIT-TSMixer,2025-03-06,sari,2025-03-06-icosari-sari-KIT-TSMixer.csv,2025-03-07,2025-03-07,icosari,1,FALSE,Prospective
KIT-hhh4,2025-03-06,sari,2025-03-06-icosari-sari-KIT-hhh4.csv,2025-03-06,2025-05-07,icosari,62,TRUE,Retrospective
KIT-simple_nowcast,2025-03-06,sari,2025-03-06-icosari-sari-KIT-simple_nowcast.csv,2025-03-06,2025-03-06,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2025-03-06,sari,2025-03-06-icosari-sari-MPIDS-PS_embedding.csv,2025-03-06,2025-03-06,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-03-06,sari,2025-03-06-icosari-sari-KIT-epinowcast.csv,2025-03-06,2025-03-06,icosari,0,FALSE,Prospective
RIVM-GAM,2025-03-06,sari,2025-03-06-icosari-sari-RIVM-GAM.csv,2025-03-07,2025-03-07,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-03-06,sari,2025-03-06-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,90,TRUE,Retrospective
KIT-LightGBM,2025-03-13,sari,2025-03-13-icosari-sari-KIT-LightGBM.csv,2025-04-30,2025-04-30,icosari,48,TRUE,Retrospective
KIT-TSMixer,2025-03-13,sari,2025-03-13-icosari-sari-KIT-TSMixer.csv,2025-04-30,2025-04-30,icosari,48,TRUE,Retrospective
KIT-hhh4,2025-03-13,sari,2025-03-13-icosari-sari-KIT-hhh4.csv,2025-03-14,2025-03-14,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-03-13,sari,2025-03-13-icosari-sari-KIT-simple_nowcast.csv,2025-03-14,2025-03-14,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-03-13,sari,2025-03-13-icosari-sari-MPIDS-PS_embedding.csv,2025-03-22,2025-03-22,icosari,9,TRUE,Retrospective
KIT-epinowcast,2025-03-13,sari,2025-03-13-icosari-sari-KIT-epinowcast.csv,2025-03-14,2025-03-14,icosari,1,FALSE,Prospective
RIVM-GAM,2025-03-13,sari,2025-03-13-icosari-sari-RIVM-GAM.csv,2025-03-14,2025-03-14,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-03-13,sari,2025-03-13-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,83,TRUE,Retrospective
KIT-LightGBM,2025-03-20,sari,2025-03-20-icosari-sari-KIT-LightGBM.csv,2025-03-27,2025-03-27,icosari,7,FALSE,Prospective
KIT-TSMixer,2025-03-20,sari,2025-03-20-icosari-sari-KIT-TSMixer.csv,2025-03-27,2025-03-27,icosari,7,FALSE,Prospective
KIT-hhh4,2025-03-20,sari,2025-03-20-icosari-sari-KIT-hhh4.csv,2025-03-20,2025-03-20,icosari,0,FALSE,Prospective
KIT-simple_nowcast,2025-03-20,sari,2025-03-20-icosari-sari-KIT-simple_nowcast.csv,2025-03-20,2025-03-20,icosari,0,FALSE,Prospective
MPIDS-PS_embedding,2025-03-20,sari,2025-03-20-icosari-sari-MPIDS-PS_embedding.csv,2025-03-20,2025-03-20,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-03-20,sari,2025-03-20-icosari-sari-KIT-epinowcast.csv,2025-03-20,2025-03-20,icosari,0,FALSE,Prospective
RIVM-GAM,2025-03-20,sari,2025-03-20-icosari-sari-RIVM-GAM.csv,2025-03-21,2025-03-21,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-03-20,sari,2025-03-20-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,76,TRUE,Retrospective
KIT-LightGBM,2025-03-27,sari,2025-03-27-icosari-sari-KIT-LightGBM.csv,2025-04-22,2025-04-22,icosari,26,TRUE,Retrospective
KIT-TSMixer,2025-03-27,sari,2025-03-27-icosari-sari-KIT-TSMixer.csv,2025-04-22,2025-04-22,icosari,26,TRUE,Retrospective
KIT-hhh4,2025-03-27,sari,2025-03-27-icosari-sari-KIT-hhh4.csv,2025-03-28,2025-03-28,icosari,1,FALSE,Prospective
KIT-simple_nowcast,2025-03-27,sari,2025-03-27-icosari-sari-KIT-simple_nowcast.csv,2025-03-28,2025-03-28,icosari,1,FALSE,Prospective
MPIDS-PS_embedding,2025-03-27,sari,2025-03-27-icosari-sari-MPIDS-PS_embedding.csv,2025-03-27,2025-03-27,icosari,0,FALSE,Prospective
KIT-epinowcast,2025-03-27,sari,2025-03-27-icosari-sari-KIT-epinowcast.csv,2025-03-28,2025-03-28,icosari,1,FALSE,Prospective
RIVM-GAM,2025-03-27,sari,2025-03-27-icosari-sari-RIVM-GAM.csv,2025-03-28,2025-03-28,icosari,1,FALSE,Prospective
RKI-Pilot_01,2025-03-27,sari,2025-03-27-icosari-sari-RKI-Pilot_01.csv,2025-06-04,2025-06-04,icosari,69,TRUE,Retrospective
KIT-simple_nowcast,2024-10-17,influenza,2024-10-17-survstat-influenza-KIT-simple_nowcast.csv,2024-10-18,2024-10-18,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-10-17,influenza,2024-10-17-survstat-influenza-KIT-epinowcast.csv,2024-10-18,2024-10-18,survstat,1,FALSE,Prospective
RIVM-GAM,2024-10-17,influenza,2024-10-17-survstat-influenza-RIVM-GAM.csv,2024-10-18,2024-10-18,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-10-17,influenza,2024-10-17-survstat-influenza-HZI-ODEmodel.csv,2024-10-29,2024-10-29,survstat,12,TRUE,Retrospective
KIT-simple_nowcast,2024-10-24,influenza,2024-10-24-survstat-influenza-KIT-simple_nowcast.csv,2024-10-25,2024-10-25,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-10-24,influenza,2024-10-24-survstat-influenza-KIT-epinowcast.csv,2024-10-25,2024-10-25,survstat,1,FALSE,Prospective
RIVM-GAM,2024-10-24,influenza,2024-10-24-survstat-influenza-RIVM-GAM.csv,2024-10-25,2024-10-25,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-10-24,influenza,2024-10-24-survstat-influenza-HZI-ODEmodel.csv,2024-10-29,2024-10-29,survstat,5,FALSE,Prospective
KIT-simple_nowcast,2024-10-31,influenza,2024-10-31-survstat-influenza-KIT-simple_nowcast.csv,2024-11-01,2024-11-01,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-10-31,influenza,2024-10-31-survstat-influenza-KIT-epinowcast.csv,2024-11-01,2024-11-01,survstat,1,FALSE,Prospective
RIVM-GAM,2024-10-31,influenza,2024-10-31-survstat-influenza-RIVM-GAM.csv,2024-11-01,2024-11-01,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-10-31,influenza,2024-10-31-survstat-influenza-HZI-ODEmodel.csv,2024-11-01,2024-11-01,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2024-11-07,influenza,2024-11-07-survstat-influenza-KIT-simple_nowcast.csv,2024-11-08,2024-11-08,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-11-07,influenza,2024-11-07-survstat-influenza-KIT-epinowcast.csv,2024-11-08,2024-11-08,survstat,1,FALSE,Prospective
RIVM-GAM,2024-11-07,influenza,2024-11-07-survstat-influenza-RIVM-GAM.csv,2024-11-08,2024-11-08,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-07,influenza,2024-11-07-survstat-influenza-HZI-ODEmodel.csv,2024-11-15,2024-11-15,survstat,8,TRUE,Retrospective
KIT-simple_nowcast,2024-11-14,influenza,2024-11-14-survstat-influenza-KIT-simple_nowcast.csv,2024-11-15,2024-11-15,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-11-14,influenza,2024-11-14-survstat-influenza-KIT-epinowcast.csv,2024-11-22,2024-11-22,survstat,8,TRUE,Retrospective
RIVM-GAM,2024-11-14,influenza,2024-11-14-survstat-influenza-RIVM-GAM.csv,2024-11-15,2024-11-15,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-14,influenza,2024-11-14-survstat-influenza-HZI-ODEmodel.csv,2024-11-15,2024-11-15,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2024-11-21,influenza,2024-11-21-survstat-influenza-KIT-simple_nowcast.csv,2024-11-22,2024-11-22,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-11-21,influenza,NA,NA,NA,NA,NA,NA,Data unavailable
RIVM-GAM,2024-11-21,influenza,NA,NA,NA,NA,NA,NA,Data unavailable
HZI-ODEmodel,2024-11-21,influenza,2024-11-21-survstat-influenza-HZI-ODEmodel.csv,2024-11-23,2024-11-23,survstat,2,FALSE,Prospective
KIT-simple_nowcast,2024-11-28,influenza,2024-11-28-survstat-influenza-KIT-simple_nowcast.csv,2024-11-29,2024-11-29,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-11-28,influenza,2024-11-28-survstat-influenza-KIT-epinowcast.csv,2024-11-29,2024-11-29,survstat,1,FALSE,Prospective
RIVM-GAM,2024-11-28,influenza,2024-11-28-survstat-influenza-RIVM-GAM.csv,2024-11-29,2024-11-29,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-28,influenza,2024-11-28-survstat-influenza-HZI-ODEmodel.csv,2024-12-02,2024-12-02,survstat,4,FALSE,Prospective
KIT-simple_nowcast,2024-12-05,influenza,2024-12-05-survstat-influenza-KIT-simple_nowcast.csv,2024-12-11,2024-12-11,survstat,6,FALSE,Prospective
KIT-epinowcast,2024-12-05,influenza,2024-12-05-survstat-influenza-KIT-epinowcast.csv,2024-12-11,2024-12-11,survstat,6,FALSE,Prospective
RIVM-GAM,2024-12-05,influenza,2024-12-05-survstat-influenza-RIVM-GAM.csv,2024-12-06,2024-12-06,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-12-05,influenza,2024-12-05-survstat-influenza-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,36,TRUE,Retrospective
KIT-simple_nowcast,2024-12-12,influenza,2024-12-12-survstat-influenza-KIT-simple_nowcast.csv,2024-12-13,2024-12-13,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-12-12,influenza,2024-12-12-survstat-influenza-KIT-epinowcast.csv,2024-12-13,2024-12-13,survstat,1,FALSE,Prospective
RIVM-GAM,2024-12-12,influenza,2024-12-12-survstat-influenza-RIVM-GAM.csv,2024-12-13,2024-12-13,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-12-12,influenza,2024-12-12-survstat-influenza-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,29,TRUE,Retrospective
KIT-simple_nowcast,2024-12-19,influenza,2024-12-19-survstat-influenza-KIT-simple_nowcast.csv,2024-12-20,2024-12-20,survstat,1,FALSE,Prospective
KIT-epinowcast,2024-12-19,influenza,2024-12-19-survstat-influenza-KIT-epinowcast.csv,2024-12-20,2024-12-20,survstat,1,FALSE,Prospective
RIVM-GAM,2024-12-19,influenza,2024-12-19-survstat-influenza-RIVM-GAM.csv,2024-12-20,2024-12-20,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-12-19,influenza,2024-12-19-survstat-influenza-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,22,TRUE,Retrospective
KIT-simple_nowcast,2025-01-09,influenza,2025-01-09-survstat-influenza-KIT-simple_nowcast.csv,2025-01-11,2025-01-11,survstat,2,FALSE,Prospective
KIT-epinowcast,2025-01-09,influenza,2025-01-09-survstat-influenza-KIT-epinowcast.csv,2025-01-11,2025-01-11,survstat,2,FALSE,Prospective
RIVM-GAM,2025-01-09,influenza,2025-01-09-survstat-influenza-RIVM-GAM.csv,2025-01-10,2025-01-10,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-01-09,influenza,2025-01-09-survstat-influenza-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-16,influenza,2025-01-16-survstat-influenza-KIT-simple_nowcast.csv,2025-01-17,2025-01-17,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-01-16,influenza,2025-01-16-survstat-influenza-KIT-epinowcast.csv,2025-01-17,2025-01-17,survstat,1,FALSE,Prospective
RIVM-GAM,2025-01-16,influenza,2025-01-16-survstat-influenza-RIVM-GAM.csv,2025-01-17,2025-01-17,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-01-16,influenza,2025-01-16-survstat-influenza-HZI-ODEmodel.csv,2025-01-17,2025-01-17,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-23,influenza,2025-01-23-survstat-influenza-KIT-simple_nowcast.csv,2025-01-24,2025-01-24,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-01-23,influenza,2025-01-23-survstat-influenza-KIT-epinowcast.csv,2025-01-24,2025-01-24,survstat,1,FALSE,Prospective
RIVM-GAM,2025-01-23,influenza,2025-01-23-survstat-influenza-RIVM-GAM.csv,2025-01-24,2025-01-24,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-01-23,influenza,2025-01-23-survstat-influenza-HZI-ODEmodel.csv,2025-01-24,2025-01-24,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-30,influenza,2025-01-30-survstat-influenza-KIT-simple_nowcast.csv,2025-01-31,2025-01-31,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-01-30,influenza,2025-01-30-survstat-influenza-KIT-epinowcast.csv,2025-01-31,2025-01-31,survstat,1,FALSE,Prospective
RIVM-GAM,2025-01-30,influenza,2025-01-30-survstat-influenza-RIVM-GAM.csv,2025-01-31,2025-01-31,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-01-30,influenza,2025-01-30-survstat-influenza-HZI-ODEmodel.csv,2025-01-31,2025-01-31,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-02-06,influenza,2025-02-06-survstat-influenza-KIT-simple_nowcast.csv,2025-02-07,2025-02-07,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-02-06,influenza,2025-02-06-survstat-influenza-KIT-epinowcast.csv,2025-02-07,2025-02-07,survstat,1,FALSE,Prospective
RIVM-GAM,2025-02-06,influenza,2025-02-06-survstat-influenza-RIVM-GAM.csv,2025-02-07,2025-02-07,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-06,influenza,2025-02-06-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,50,TRUE,Retrospective
KIT-simple_nowcast,2025-02-13,influenza,2025-02-13-survstat-influenza-KIT-simple_nowcast.csv,2025-02-14,2025-02-14,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-02-13,influenza,2025-02-13-survstat-influenza-KIT-epinowcast.csv,2025-02-14,2025-02-14,survstat,1,FALSE,Prospective
RIVM-GAM,2025-02-13,influenza,2025-02-13-survstat-influenza-RIVM-GAM.csv,2025-02-14,2025-02-14,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-13,influenza,2025-02-13-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,43,TRUE,Retrospective
KIT-simple_nowcast,2025-02-20,influenza,2025-02-20-survstat-influenza-KIT-simple_nowcast.csv,2025-02-21,2025-02-21,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-02-20,influenza,2025-02-20-survstat-influenza-KIT-epinowcast.csv,2025-02-21,2025-02-21,survstat,1,FALSE,Prospective
RIVM-GAM,2025-02-20,influenza,2025-02-20-survstat-influenza-RIVM-GAM.csv,2025-02-21,2025-02-21,survstat,1,FALSE,Prospective
