model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
KIT-hhh4,2024-11-07,are,2024-11-07-agi-are-KIT-hhh4.csv,2024-11-07,2025-06-10,agi,215,TRUE,Prospective
KIT-simple_nowcast,2024-11-07,are,2024-11-07-agi-are-KIT-simple_nowcast.csv,2024-11-07,2024-11-07,agi,0,FALSE,Prospective
MPIDS-PS_embedding,2024-11-07,are,2024-11-07-agi-are-MPIDS-PS_embedding.csv,2024-11-07,2025-06-10,agi,215,TRUE,Prospective
KIT-LightGBM,2024-11-14,are,2024-11-14-agi-are-KIT-LightGBM.csv,2024-11-22,2025-04-24,agi,161,TRUE,Retrospective
KIT-TSMixer,2024-11-14,are,2024-11-14-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,165,TRUE,Retrospective
KIT-hhh4,2024-11-14,are,2024-11-14-agi-are-KIT-hhh4.csv,2024-11-15,2025-06-10,agi,208,TRUE,Prospective
KIT-simple_nowcast,2024-11-14,are,2024-11-14-agi-are-KIT-simple_nowcast.csv,2024-11-15,2024-11-15,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2024-11-14,are,2024-11-14-agi-are-MPIDS-PS_embedding.csv,2024-11-14,2025-06-10,agi,208,TRUE,Prospective
KIT-LightGBM,2024-11-21,are,2024-11-21-agi-are-KIT-LightGBM.csv,2024-11-22,2025-04-24,agi,154,TRUE,Retrospective
KIT-TSMixer,2024-11-21,are,2024-11-21-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,158,TRUE,Retrospective
KIT-hhh4,2024-11-21,are,2024-11-21-agi-are-KIT-hhh4.csv,2024-11-21,2025-06-10,agi,201,TRUE,Prospective
KIT-simple_nowcast,2024-11-21,are,2024-11-21-agi-are-KIT-simple_nowcast.csv,2024-11-21,2024-11-21,agi,0,FALSE,Prospective
MPIDS-PS_embedding,2024-11-21,are,2024-11-21-agi-are-MPIDS-PS_embedding.csv,2024-11-21,2025-06-10,agi,201,TRUE,Prospective
KIT-LightGBM,2024-11-28,are,2024-11-28-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,147,TRUE,Retrospective
KIT-TSMixer,2024-11-28,are,2024-11-28-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,151,TRUE,Retrospective
KIT-hhh4,2024-11-28,are,2024-11-28-agi-are-KIT-hhh4.csv,2024-11-29,2025-06-10,agi,194,TRUE,Prospective
KIT-simple_nowcast,2024-11-28,are,2024-11-28-agi-are-KIT-simple_nowcast.csv,2024-11-29,2024-11-29,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2024-11-28,are,2024-11-28-agi-are-MPIDS-PS_embedding.csv,2024-11-28,2025-06-10,agi,194,TRUE,Prospective
KIT-LightGBM,2024-12-05,are,2024-12-05-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,140,TRUE,Retrospective
KIT-TSMixer,2024-12-05,are,2024-12-05-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,144,TRUE,Retrospective
KIT-hhh4,2024-12-05,are,2024-12-05-agi-are-KIT-hhh4.csv,2024-12-05,2025-06-10,agi,187,TRUE,Prospective
KIT-simple_nowcast,2024-12-05,are,2024-12-05-agi-are-KIT-simple_nowcast.csv,2024-12-05,2024-12-05,agi,0,FALSE,Prospective
MPIDS-PS_embedding,2024-12-05,are,2024-12-05-agi-are-MPIDS-PS_embedding.csv,2024-12-05,2025-06-10,agi,187,TRUE,Prospective
KIT-LightGBM,2024-12-12,are,2024-12-12-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,133,TRUE,Retrospective
KIT-TSMixer,2024-12-12,are,2024-12-12-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,137,TRUE,Retrospective
KIT-hhh4,2024-12-12,are,2024-12-12-agi-are-KIT-hhh4.csv,2024-12-13,2025-06-10,agi,180,TRUE,Prospective
